Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
66.165.253.194,October 10 2024 11:33:46 AM EDT,New York - US,Up,200,22,2,12,47,20,103,638204,104.18.17.112,-
209.151.153.107,October 10 2024 11:28:44 AM EDT,New York - US,Up,200,11,2,16,53,18,100,638204,104.18.16.112,-
209.151.153.107,October 10 2024 11:23:38 AM EDT,New York - US,Up,200,11,1,11,43,17,83,638204,104.18.16.112,-
131.153.220.98,October 10 2024 11:23:38 AM EDT,Virginia - US,Up,200,11,1,12,132,19,175,638204,104.18.16.112,-
134.195.196.243,October 10 2024 11:23:38 AM EDT,Toronto - CA,Up,200,81,5,10,46,16,158,638204,104.18.17.112,-
45.10.22.81,October 10 2024 11:23:38 AM EDT,Las Vegas - US,Up,200,14,8,22,59,17,120,638204,104.18.17.112,-
172.96.165.98,October 10 2024 11:18:37 AM EDT,New York - US,Up,200,14,2,10,81,16,123,638204,104.18.16.112,-
66.165.253.194,October 10 2024 11:12:00 AM EDT,New York - US,Up,200,43,2,11,42,16,114,638204,104.18.16.112,-
104.236.114.81,October 10 2024 11:06:44 AM EDT,New York - US,Up,200,17,1,14,53,19,104,638204,104.18.16.112,-
66.165.233.146,October 10 2024 11:01:41 AM EDT,New York - US,Up,200,78,2,14,41,16,151,638204,104.18.16.112,-
169.197.141.229,October 10 2024 10:56:38 AM EDT,New York - US,Up,200,79,1,18,43,16,157,638204,104.18.17.112,-
198.211.100.169,October 10 2024 10:51:33 AM EDT,New York - US,Up,200,39,3,16,1391,15,1464,638204,104.18.17.112,-
75.101.151.107,October 10 2024 10:51:33 AM EDT,Virginia - US,Up,200,40,1,9,1408,11,1469,638204,104.18.17.112,-
172.105.0.109,October 10 2024 10:51:33 AM EDT,Toronto - CA,Up,200,198,3,10,1240,14,1465,638204,104.18.17.112,-
64.235.50.24,October 10 2024 10:51:33 AM EDT,Las Vegas - US,Up,200,27,12,20,1475,12,1546,638204,104.18.17.112,-
