Report Name: Log Report
Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),Connection Time (ms),SSL Handshake Time (ms),First Byte Time (ms),Download Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
66.165.233.146,October 10 2024 11:35:25 AM EDT,New York - US,Up,200,50,2,10,193,6,261,152440,104.18.8.189,-
66.165.253.194,October 10 2024 11:30:22 AM EDT,New York - US,Up,200,44,2,12,342,6,406,152440,104.18.9.189,-
66.165.251.146,October 10 2024 11:25:19 AM EDT,New York - US,Up,200,60,15,19,303,5,403,152440,104.18.9.189,-
209.151.153.107,October 10 2024 11:20:14 AM EDT,New York - US,Up,200,10,1,11,217,5,244,152440,104.18.8.189,-
172.96.165.98,October 10 2024 11:15:11 AM EDT,New York - US,Up,200,38,4,16,292,5,355,152440,104.18.9.189,-
66.165.253.194,October 10 2024 11:10:08 AM EDT,New York - US,Up,200,22,3,13,491,5,534,152440,104.18.9.189,-
207.244.104.49,October 10 2024 11:10:08 AM EDT,Virginia - US,Up,200,10,2,20,338,10,380,152440,104.18.9.189,-
162.223.228.142,October 10 2024 11:10:08 AM EDT,Toronto - CA,Up,200,18,11,20,324,11,384,152440,104.18.8.189,-
64.235.50.24,October 10 2024 11:10:08 AM EDT,Las Vegas - US,Up,200,43,8,16,479,7,553,152440,104.18.9.189,-
66.165.253.194,October 10 2024 11:05:05 AM EDT,New York - US,Up,200,28,2,24,78,20,152,152440,104.18.9.189,-
172.96.165.98,October 10 2024 11:00:03 AM EDT,New York - US,Up,200,20,5,17,370,4,416,152440,104.18.8.189,-
45.58.47.160,October 10 2024 10:54:59 AM EDT,New York - US,Up,200,89,3,15,347,3,457,152440,104.18.8.189,-
169.197.141.229,October 10 2024 10:49:57 AM EDT,New York - US,Up,200,31,1,15,357,4,408,152440,104.18.8.189,-
172.96.165.98,October 10 2024 10:44:55 AM EDT,New York - US,Up,200,18,1,11,159,4,193,152440,104.18.9.189,-
169.197.141.229,October 10 2024 10:39:49 AM EDT,New York - US,Up,200,15,1,14,145,6,181,152440,104.18.8.189,-
23.105.39.121,October 10 2024 10:39:49 AM EDT,Virginia - US,Up,200,7,2,16,178,10,213,152440,104.18.8.189,-
134.195.196.243,October 10 2024 10:39:49 AM EDT,Toronto - CA,Up,200,15,1,8,67,5,96,152440,104.18.8.189,-
64.235.50.24,October 10 2024 10:39:49 AM EDT,Las Vegas - US,Up,200,22,7,19,378,7,433,152440,104.18.9.189,-
209.151.153.107,October 10 2024 10:34:47 AM EDT,New York - US,Up,200,9,2,11,302,5,329,152440,104.18.9.189,-
169.197.141.229,October 10 2024 10:29:43 AM EDT,New York - US,Up,200,32,1,15,262,10,320,152440,104.18.8.189,-
66.165.233.146,October 10 2024 10:24:41 AM EDT,New York - US,Up,200,49,2,11,327,5,394,152440,104.18.8.189,-
66.165.251.146,October 10 2024 10:19:36 AM EDT,New York - US,Up,200,26,2,11,223,5,267,152440,104.18.8.189,-
66.165.251.146,October 10 2024 10:14:32 AM EDT,New York - US,Up,200,50,2,14,320,5,392,152440,104.18.8.189,-
66.165.253.194,October 10 2024 10:09:27 AM EDT,New York - US,Up,200,43,2,10,294,6,355,152440,104.18.8.189,-
75.101.151.107,October 10 2024 10:09:27 AM EDT,Virginia - US,Up,200,90,1,13,480,5,590,152440,104.18.9.189,-
165.22.238.144,October 10 2024 10:09:27 AM EDT,Toronto - CA,Up,200,24,1,14,325,5,370,152440,104.18.9.189,-
64.235.50.24,October 10 2024 10:09:27 AM EDT,Las Vegas - US,Up,200,20,8,19,409,7,463,152440,104.18.8.189,-
45.58.47.160,October 10 2024 10:04:25 AM EDT,New York - US,Up,200,94,2,79,363,5,543,152440,104.18.8.189,-
169.197.141.229,October 10 2024 9:59:23 AM EDT,New York - US,Up,200,26,0,13,141,4,185,152440,104.18.9.189,-
169.197.141.229,October 10 2024 9:54:17 AM EDT,New York - US,Up,200,33,1,12,291,19,357,152440,104.18.8.189,-
104.236.114.81,October 10 2024 9:49:14 AM EDT,New York - US,Up,200,19,1,17,234,4,275,152440,104.18.9.189,-
66.165.253.194,October 10 2024 9:44:08 AM EDT,New York - US,Up,200,69,3,23,292,5,392,152440,104.18.8.189,-
172.96.165.98,October 10 2024 9:38:51 AM EDT,New York - US,Up,200,37,1,11,286,5,340,152440,104.18.8.189,-
108.62.123.84,October 10 2024 9:38:51 AM EDT,Virginia - US,Up,200,6,3,16,396,12,433,152440,104.18.8.189,-
165.22.238.144,October 10 2024 9:38:51 AM EDT,Toronto - CA,Up,200,96,2,14,313,4,429,152440,104.18.8.189,-
45.10.22.81,October 10 2024 9:38:51 AM EDT,Las Vegas - US,Up,200,13,9,19,309,9,359,152440,104.18.9.189,-
209.151.153.107,October 10 2024 9:33:36 AM EDT,New York - US,Up,200,18,2,13,335,3,371,152440,104.18.8.189,-
104.236.16.22,October 10 2024 9:28:30 AM EDT,New York - US,Up,200,14,3,12,271,5,305,152440,104.18.8.189,-
198.211.100.169,October 10 2024 9:23:25 AM EDT,New York - US,Up,200,28,2,11,105,3,149,152440,104.18.8.189,-
172.96.165.98,October 10 2024 9:18:17 AM EDT,New York - US,Up,200,13,1,12,337,6,369,152440,104.18.8.189,-
169.197.141.229,October 10 2024 9:13:12 AM EDT,New York - US,Up,200,25,1,11,307,4,348,152440,104.18.8.189,-
66.165.233.146,October 10 2024 9:08:10 AM EDT,New York - US,Up,200,46,2,13,157,5,223,152440,104.18.9.189,-
207.244.104.49,October 10 2024 9:08:10 AM EDT,Virginia - US,Up,200,13,2,13,168,4,201,152440,104.18.9.189,-
134.195.196.243,October 10 2024 9:08:10 AM EDT,Toronto - CA,Up,200,12,1,11,330,5,359,152440,104.18.9.189,-
45.10.22.81,October 10 2024 9:08:10 AM EDT,Las Vegas - US,Up,200,13,9,18,206,9,255,152440,104.18.8.189,-
45.58.47.160,October 10 2024 9:03:08 AM EDT,New York - US,Up,200,90,2,26,301,13,432,152440,104.18.8.189,-
66.165.233.146,October 10 2024 8:57:59 AM EDT,New York - US,Up,200,80,2,10,285,5,383,152440,104.18.9.189,-
172.96.165.98,October 10 2024 8:52:56 AM EDT,New York - US,Up,200,15,2,12,281,4,315,152440,104.18.8.189,-
66.165.233.146,October 10 2024 8:47:45 AM EDT,New York - US,Up,200,51,2,33,256,4,346,152440,104.18.9.189,-
172.96.165.98,October 10 2024 8:42:40 AM EDT,New York - US,Up,200,14,2,12,249,5,282,152440,104.18.9.189,-
209.151.153.107,October 10 2024 8:37:38 AM EDT,New York - US,Up,200,9,1,13,341,5,369,152440,104.18.9.189,-
207.244.104.233,October 10 2024 8:37:38 AM EDT,Virginia - US,Up,200,4,1,11,291,5,312,152440,104.18.9.189,-
172.105.0.109,October 10 2024 8:37:38 AM EDT,Toronto - CA,Up,200,83,2,8,280,5,378,152440,104.18.8.189,-
45.10.22.81,October 10 2024 8:37:38 AM EDT,Las Vegas - US,Up,200,12,8,20,394,8,442,152440,104.18.8.189,-
66.165.233.146,October 10 2024 8:32:36 AM EDT,New York - US,Up,200,53,2,11,324,6,396,152440,104.18.8.189,-
66.165.251.146,October 10 2024 8:27:34 AM EDT,New York - US,Up,200,51,3,67,272,5,398,152440,104.18.8.189,-
45.58.47.160,October 10 2024 8:22:32 AM EDT,New York - US,Up,200,46,9,18,144,3,220,152440,104.18.9.189,-
172.96.165.98,October 10 2024 8:17:30 AM EDT,New York - US,Up,200,14,2,11,238,5,270,152440,104.18.8.189,-
104.236.114.81,October 10 2024 8:12:19 AM EDT,New York - US,Up,200,16,1,16,248,3,284,152440,104.18.9.189,-
209.151.153.107,October 10 2024 8:07:16 AM EDT,New York - US,Up,200,22,2,11,139,5,179,152440,104.18.9.189,-
207.244.103.237,October 10 2024 8:07:16 AM EDT,Virginia - US,Up,200,5,1,11,283,7,308,152440,104.18.9.189,-
159.203.37.151,October 10 2024 8:07:16 AM EDT,Toronto - CA,Up,200,14,1,12,297,5,329,152440,104.18.8.189,-
45.10.22.81,October 10 2024 8:07:16 AM EDT,Las Vegas - US,Up,200,13,9,16,494,8,540,152440,104.18.9.189,-
66.165.251.146,October 10 2024 8:02:14 AM EDT,New York - US,Up,200,49,2,9,102,4,166,152440,104.18.9.189,-
209.151.153.107,October 10 2024 7:57:00 AM EDT,New York - US,Up,200,12,2,12,259,5,290,152440,104.18.9.189,-
